Crop,Symptoms,Disease,Severity
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,High
Soybean,Stunted growth,Root Rot,High
Cotton,"Black lesions, Premature fruit drop",Bacterial Blight,Critical
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Critical
Banana,"Yellow leaves, Root rot, Wilting stems",Panama Disease,Low
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Critical
Soybean,"Rusty orange pustules, Yellow leaves, Premature fruit drop, Black lesions",Rust,Low
Tomato,"Stunted growth, Leaf curl, Yellow leaves",Leaf Curl,High
Soybean,"Premature fruit drop, Rusty orange pustules, Yellow leaves",Rust,Medium
Banana,"Yellow leaves, Wilting stems, Root rot",Panama Disease,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Rice,Water-soaked patches,Bacterial Blight,Medium
Tomato,Fruit discoloration,Late Blight,Medium
Tomato,Water-soaked patches,Late Blight,High
Maize,Yellow leaves,Leaf Blight,Medium
Tomato,Fruit discoloration,Late Blight,High
Rice,Brown spots on leaves,Blast,Low
Banana,Premature fruit drop,Black Sigatoka,Low
Soybean,Root rot,Root Rot,High
Potato,"Black lesions, Water-soaked patches",Late Blight,Critical
Mango,"Premature fruit drop, Fruit discoloration, Black lesions",Anthracnose,Low
Wheat,"Yellow leaves, Stunted growth, Root rot",Root Rot,Critical
Grapes,"Yellow leaves, Premature fruit drop",Downy Mildew,High
Grapes,"Premature fruit drop, White powder on leaves",Downy Mildew,High
Cotton,Water-soaked patches,Bacterial Blight,Critical
Tomato,"Leaf curl, Stunted growth",Leaf Curl,Low
Grapes,"Premature fruit drop, White powder on leaves, Yellow leaves, Wilting stems",Downy Mildew,Low
Mango,Black lesions,Anthracnose,Critical
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Low
Sugarcane,Rusty orange pustules,Rust,Low
Banana,Brown spots on leaves,Black Sigatoka,Low
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Potato,Yellow leaves,Early Blight,High
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Medium
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,High
Wheat,Yellow leaves,Root Rot,Critical
Banana,"Yellow leaves, Wilting stems",Panama Disease,Critical
Cotton,"Yellow leaves, Wilting stems",Wilt,High
Rice,Yellow leaves,Brown Spot,High
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,Low
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,Critical
Maize,Yellow leaves,Leaf Blight,High
Mango,"Black lesions, Fruit discoloration",Anthracnose,Medium
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Medium
Tomato,"Premature fruit drop, Brown spots on leaves, Stunted growth",Early Blight,Medium
Rice,"Stunted growth, Brown spots on leaves",Blast,Medium
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,High
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Wheat,Stunted growth,Root Rot,Medium
Soybean,Premature fruit drop,Rust,High
Wheat,Yellow leaves,Root Rot,Medium
Groundnut,Premature fruit drop,Rust,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Low
Cotton,"Wilting stems, Stunted growth, Yellow leaves, Leaf curl",Wilt,High
Grapes,"Stunted growth, Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems",Red Rot,Critical
Maize,"Yellow leaves, Root rot",Leaf Blight,Low
Wheat,Yellow leaves,Root Rot,Medium
Grapes,Stunted growth,Powdery Mildew,Medium
Maize,"Rusty orange pustules, Brown spots on leaves, Leaf curl",Common Rust,Critical
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,High
Cotton,"Black lesions, Premature fruit drop, Water-soaked patches, Stunted growth",Bacterial Blight,Critical
Tomato,"Premature fruit drop, Brown spots on leaves",Early Blight,Low
Soybean,"Stunted growth, Premature fruit drop",Root Rot,Low
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Low
Rice,"Wilting stems, Water-soaked patches",Bacterial Blight,High
Wheat,Yellow leaves,Powdery Mildew,Medium
Cotton,"Water-soaked patches, Black lesions, Premature fruit drop",Bacterial Blight,Medium
Soybean,"Rusty orange pustules, Premature fruit drop",Rust,Low
Potato,Yellow leaves,Early Blight,Medium
Wheat,Rusty orange pustules,Leaf Rust,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,High
Maize,"Rusty orange pustules, Brown spots on leaves, Yellow leaves",Common Rust,Critical
Banana,"Yellow leaves, Wilting stems, Root rot",Panama Disease,Medium
Potato,Yellow leaves,Early Blight,High
Banana,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Black Sigatoka,Critical
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Banana,"Yellow leaves, Root rot, Wilting stems",Panama Disease,Medium
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Critical
Tomato,"Water-soaked patches, Black lesions, Fruit discoloration",Late Blight,Low
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,Low
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,Medium
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,High
Maize,Wilting stems,Leaf Blight,Critical
Rice,Brown spots on leaves,Brown Spot,High
Sugarcane,Brown spots on leaves,Rust,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Potato,"Stunted growth, Fruit discoloration",Black Scurf,Medium
Banana,"Root rot, Wilting stems",Panama Disease,Critical
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Critical
Potato,"Stunted growth, Black lesions, Brown spots on leaves",Black Scurf,Critical
Tomato,"Yellow leaves, Brown spots on leaves, Premature fruit drop",Early Blight,Low
Groundnut,Rusty orange pustules,Rust,Critical
Maize,Rusty orange pustules,Common Rust,High
Groundnut,"Premature fruit drop, Brown spots on leaves",Leaf Spot,Medium
Tomato,"Leaf curl, Yellow leaves",Leaf Curl,High
Potato,"Black lesions, Water-soaked patches",Late Blight,Low
Sugarcane,Brown spots on leaves,Rust,Medium
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Low
Tomato,"Stunted growth, Leaf curl, Yellow leaves",Leaf Curl,High
Rice,Yellow leaves,Brown Spot,Low
Mango,"Fruit discoloration, Premature fruit drop, Black lesions, Brown spots on leaves",Anthracnose,Medium
Rice,"Yellow leaves, Leaf curl",Bacterial Blight,Low
Tomato,Yellow leaves,Leaf Curl,Low
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,Critical
Groundnut,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Leaf Spot,Critical
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,High
Banana,"Wilting stems, Yellow leaves",Panama Disease,Low
Sugarcane,Rusty orange pustules,Rust,Medium
Sugarcane,"Yellow leaves, Wilting stems, Stunted growth",Red Rot,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Banana,Premature fruit drop,Black Sigatoka,Medium
Tomato,Yellow leaves,Leaf Curl,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Wheat,"Stunted growth, Yellow leaves, Root rot, Black lesions",Root Rot,High
Soybean,"Yellow leaves, Premature fruit drop, Rusty orange pustules",Rust,Low
Grapes,"Stunted growth, White powder on leaves",Powdery Mildew,Medium
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Medium
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Wheat,White powder on leaves,Powdery Mildew,Low
Cotton,Stunted growth,Wilt,Medium
Potato,"Wilting stems, Black lesions",Late Blight,Critical
Groundnut,Premature fruit drop,Rust,Medium
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,Low
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Critical
Banana,"Black lesions, Brown spots on leaves, White powder on leaves",Black Sigatoka,High
Banana,Black lesions,Black Sigatoka,Medium
Banana,"Premature fruit drop, Black lesions",Black Sigatoka,Critical
Rice,"Stunted growth, Black lesions, Brown spots on leaves",Blast,Medium
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,Low
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,High
Rice,"Yellow leaves, Wilting stems, Water-soaked patches",Bacterial Blight,Low
Maize,Brown spots on leaves,Common Rust,Critical
Sugarcane,Brown spots on leaves,Rust,High
Cotton,"Stunted growth, Yellow leaves, Leaf curl",Wilt,High
Soybean,"Yellow leaves, Premature fruit drop, Fruit discoloration",Rust,Low
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Low
Tomato,"Yellow leaves, Water-soaked patches",Early Blight,Medium
Wheat,White powder on leaves,Powdery Mildew,High
Mango,Premature fruit drop,Anthracnose,Critical
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Medium
Grapes,White powder on leaves,Powdery Mildew,Low
Rice,"Water-soaked patches, Yellow leaves, Wilting stems",Bacterial Blight,Critical
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,Medium
Groundnut,Premature fruit drop,Rust,Low
Wheat,"Yellow leaves, Premature fruit drop",Powdery Mildew,Medium
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,Medium
Maize,"Yellow leaves, Wilting stems, Black lesions",Leaf Blight,High
Tomato,"Black lesions, Water-soaked patches",Late Blight,High
Potato,"Water-soaked patches, Stunted growth",Late Blight,Low
Mango,"Fruit discoloration, Rusty orange pustules",Powdery Mildew,Low
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Cotton,Premature fruit drop,Bacterial Blight,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Groundnut,Premature fruit drop,Leaf Spot,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Sugarcane,Stunted growth,Red Rot,Medium
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Medium
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,High
Tomato,"Premature fruit drop, Yellow leaves",Early Blight,Medium
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Critical
Mango,White powder on leaves,Powdery Mildew,Critical
Tomato,"Water-soaked patches, Black lesions",Late Blight,High
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,High
Cotton,"Wilting stems, Yellow leaves, Stunted growth, Water-soaked patches",Wilt,High
Sugarcane,Yellow leaves,Red Rot,High
Banana,"Premature fruit drop, Brown spots on leaves",Black Sigatoka,High
Grapes,Fruit discoloration,Powdery Mildew,Medium
Grapes,Fruit discoloration,Powdery Mildew,Low
Cotton,"Water-soaked patches, Black lesions, Fruit discoloration",Bacterial Blight,Critical
Mango,Fruit discoloration,Powdery Mildew,Medium
Potato,Stunted growth,Black Scurf,Low
Groundnut,"Premature fruit drop, Stunted growth",Leaf Spot,Critical
Soybean,"Yellow leaves, Premature fruit drop",Rust,Medium
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Medium
Soybean,Wilting stems,Root Rot,Low
Potato,Brown spots on leaves,Early Blight,Low
Banana,Brown spots on leaves,Black Sigatoka,Medium
Groundnut,Premature fruit drop,Rust,Low
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Medium
Cotton,Water-soaked patches,Bacterial Blight,Critical
Cotton,"Premature fruit drop, Black lesions",Bacterial Blight,Critical
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Low
Banana,"Premature fruit drop, Black lesions",Black Sigatoka,Low
Grapes,"White powder on leaves, Stunted growth, Brown spots on leaves",Powdery Mildew,Medium
Grapes,Fruit discoloration,Powdery Mildew,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Low
Soybean,"Wilting stems, Root rot, Stunted growth",Root Rot,Critical
Maize,"Rusty orange pustules, Brown spots on leaves, Premature fruit drop",Common Rust,Low
Rice,"Black lesions, Stunted growth, Brown spots on leaves, Root rot",Blast,Medium
Maize,"Wilting stems, Yellow leaves, Root rot",Leaf Blight,Critical
Rice,"Brown spots on leaves, Stunted growth, Black lesions, Yellow leaves",Blast,Medium
Tomato,"Leaf curl, Stunted growth",Leaf Curl,High
Soybean,"Rusty orange pustules, Premature fruit drop",Rust,High
Potato,"Stunted growth, Black lesions",Black Scurf,High
Cotton,"Black lesions, Premature fruit drop, Stunted growth",Bacterial Blight,Critical
Rice,"Yellow leaves, Wilting stems, Water-soaked patches",Bacterial Blight,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Mango,White powder on leaves,Powdery Mildew,Medium
Maize,Wilting stems,Leaf Blight,Critical
Grapes,"White powder on leaves, Yellow leaves",Downy Mildew,Critical
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,Low
Mango,Fruit discoloration,Anthracnose,High
Groundnut,"Rusty orange pustules, White powder on leaves",Rust,Medium
Sugarcane,Brown spots on leaves,Rust,Low
Potato,"Black lesions, Fruit discoloration",Late Blight,Medium
Wheat,"Yellow leaves, Root rot, Stunted growth",Root Rot,Low
Wheat,Stunted growth,Root Rot,High
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Medium
Tomato,"Premature fruit drop, Yellow leaves, Fruit discoloration",Early Blight,Critical
Groundnut,Rusty orange pustules,Rust,Low
Banana,"Root rot, Wilting stems",Panama Disease,Medium
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Low
Banana,"Wilting stems, Root rot, Yellow leaves",Panama Disease,Low
Potato,Yellow leaves,Early Blight,Critical
Soybean,"Premature fruit drop, Yellow leaves",Rust,Medium
Cotton,"Wilting stems, Yellow leaves",Wilt,High
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,Low
Mango,Fruit discoloration,Powdery Mildew,Critical
Groundnut,Yellow leaves,Leaf Spot,Medium
Mango,White powder on leaves,Powdery Mildew,Medium
Grapes,White powder on leaves,Downy Mildew,Low
Soybean,"Rusty orange pustules, Yellow leaves, Premature fruit drop",Rust,High
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,Critical
Soybean,Stunted growth,Root Rot,Critical
Grapes,Stunted growth,Powdery Mildew,Medium
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration, Brown spots on leaves",Powdery Mildew,High
Tomato,"Water-soaked patches, Fruit discoloration",Late Blight,Medium
Rice,"Yellow leaves, White powder on leaves",Brown Spot,Low
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Critical
Rice,"Stunted growth, Brown spots on leaves, Black lesions",Blast,High
Sugarcane,Brown spots on leaves,Rust,Critical
Cotton,Yellow leaves,Wilt,Critical
Soybean,"Premature fruit drop, Yellow leaves",Rust,Critical
Rice,Wilting stems,Bacterial Blight,Low
Groundnut,Rusty orange pustules,Rust,Low
Groundnut,"Rusty orange pustules, Premature fruit drop, Black lesions",Rust,Critical
Tomato,"Leaf curl, Yellow leaves",Leaf Curl,Low
Soybean,Stunted growth,Root Rot,High
Grapes,"Premature fruit drop, Yellow leaves, White powder on leaves",Downy Mildew,Critical
Maize,"Black lesions, Yellow leaves",Leaf Blight,High
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Medium
Rice,"Yellow leaves, Water-soaked patches, Wilting stems, Black lesions",Bacterial Blight,Medium
Cotton,Stunted growth,Wilt,Low
Wheat,White powder on leaves,Powdery Mildew,Low
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Banana,"Wilting stems, Yellow leaves",Panama Disease,Critical
Wheat,Yellow leaves,Powdery Mildew,High
Groundnut,"Rusty orange pustules, Wilting stems",Rust,Low
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Critical
Wheat,Yellow leaves,Root Rot,Low
Tomato,"Yellow leaves, Leaf curl",Early Blight,Low
Cotton,"Water-soaked patches, Premature fruit drop, Black lesions",Bacterial Blight,Low
Potato,"Water-soaked patches, Black lesions",Late Blight,Medium
Banana,"Brown spots on leaves, Black lesions, Fruit discoloration",Black Sigatoka,Low
Maize,Rusty orange pustules,Common Rust,Low
Mango,Premature fruit drop,Anthracnose,High
Tomato,"Water-soaked patches, Black lesions, Root rot",Late Blight,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,Medium
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Critical
Soybean,"Stunted growth, Root rot",Root Rot,Low
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,High
Potato,Yellow leaves,Early Blight,High
Tomato,Stunted growth,Leaf Curl,Medium
Cotton,"Yellow leaves, Stunted growth",Wilt,Medium
Mango,"Fruit discoloration, Black lesions, Premature fruit drop",Anthracnose,High
Tomato,"Fruit discoloration, Water-soaked patches, Black lesions",Late Blight,High
Banana,Root rot,Panama Disease,High
Maize,"Black lesions, Wilting stems",Leaf Blight,High
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Banana,"Black lesions, Brown spots on leaves, Premature fruit drop",Black Sigatoka,Low
Maize,Brown spots on leaves,Common Rust,Low
Rice,"Brown spots on leaves, Yellow leaves, White powder on leaves",Brown Spot,Critical
Tomato,"Premature fruit drop, Brown spots on leaves, Yellow leaves, Root rot",Early Blight,High
Sugarcane,Wilting stems,Red Rot,High
Soybean,"Root rot, Water-soaked patches",Root Rot,High
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Critical
